COUNTY,POPESTIMATE2019
125,208993
127,6488
129,21403
131,30069
133,22241
135,8076
137,5048
139,16832
141,80245
143,33167
145,53382
147,71813
149,332285
151,22068
153,15026
155,98250
157,937166
159,20157
161,13715
163,158348
165,191283
167,61599
169,11284
171,17883
173,19972
175,5872
177,41277
179,129375
181,16673
183,33328
185,27345
187,238412
189,144657
0,28995881
1,57735
3,18705
5,86715
7,23510
9,8553
11,1887
13,51153
15,30032
17,7000
19,23112
21,88723
23,3509
25,32565
27,362924
29,2003554
31,11931
33,654
35,18685
37,93245
39,374264
41,229211
43,9203
45,1546
47,7093
49,37864
51,18443
53,48155
55,43664
57,21290
59,13943
61,423163
63,13094
65,5926
67,30026
69,7530
71,43837
73,52646
75,7306
77,10471
79,2853
81,3387
83,8175
85,1034730
87,2920
89,21493
91,156209
93,13635
95,2726
97,41257
99,75951
101,1398
103,4797
105,3464
107,5737
109,2171
111,7287
113,2635516
115,12728
117,18546
119,5331
121,887207
123,20160
125,2211
127,10124
129,3278
131,11157
133,18360
135,166223
137,1932
139,184826
141,839238
143,42698
145,17297
147,35514
149,25346
151,3830
153,5712
155,1155
157,811688
159,10725
161,19717
163,20306
165,21492
167,342139
169,6229
171,26988
173,1409
175,7658
177,20837
179,21886
181,136212
183,123945
185,28880
187,166847
189,33406
191,2964
193,8461
195,5399
197,3933
199,57602
201,4713325
203,66553
205,5576
207,5658
209,230191
211,3819
213,82737
215,868707
217,36649
219,23021
221,61643
223,37084
225,22968
227,36664
229,4886
231,98594
233,20938
235,1536
237,8935
239,14760
241,35529
243,2274
245,251565
247,5200
249,40482
251,175817
253,20083
255,15601
257,136154
259,47431
261,404
263,762
265,52600
267,4337
269,272
271,3667
273,30680
275,3664
277,49859
279,12893
281,21428
283,7520
285,20154
287,17239
289,17404
291,88219
293,23437
295,3233
297,12207
299,21795
301,169
303,310569
305,5951
307,7984
309,256623
311,743
313,14284
315,9854
317,5771
319,4274
321,36643
323,58722
325,51584
327,2138
329,176832
331,24823
333,4873
335,8545
337,19818
339,607391
341,20940
343,12388
345,1200
347,65204
349,50113
351,13595
353,14714
355,362294
357,9836
359,2112
361,83396
363,29189
365,23194
367,142878
369,9605
371,15823
373,51353
375,117415
377,6704
379,12514
381,137713
383,3849
385,3452
387,12023
389,15976
391,6948
393,854
395,17074
397,104915
399,10264
401,54406
403,10542
405,8237
